Job Title,Job Type,Job Location,Education,Experience,Salary
Software Developer,Full-Time,San Francisco,Bachelor's degree,2,$12000,000
Marketing Manager,Contract,New York,Master's degree,5,$9000,000
Data Analyst,Part-Time,Chicago,Bachelor's degree,1,$5000,000
HR Coordinator,Full-Time,Los Angeles,Bachelor's degree,3,$5500,000
Accountant,Full-Time,Houston,Bachelor's degree,2,$6500,000
Graphic Designer,Contract,Boston,Bachelor's degree,2,$40000,000
Project Manager,Full-Time,Seattle, Bachelor's degree,4,$85000,000
Sales Representative,Full-Time,Miami,Bachelor's degree,1,$45000,000
Customer Service Representative,Part-Time,Dallas,High School Diploma,1,$2500,000
IT Support Specialist,Full-Time,Denver,Associate's degree,3,$6000,000
Financial Analyst,Full-Time,Minneapolis, Bachelor's degree,2,$700,000
Executive Assistant,Full-Time,San Diego, Associate's degree,5,$5000,000
Operations Manager,Full-Time,Portland, Bachelor's degree,3,$9000,000
Nurse Practitioner,Full-Time,Philadelphia, Master's degree,3,$11000,000
Physical Therapist,Full-Time,Baltimore, Doctorate degree,2,$100000,000
Social Media Manager,Full-Time,Austin, Bachelor's degree,3,$55000,000
Web Developer,Contract,Atlanta, Bachelor's degree,4,$7500,000
Marketing Coordinator,Full-Time,Charlotte,Bachelor's degree,2,$450,000
Event Planner,Contract,San Jose, Bachelor's degree,4,$600,000
Mechanical Engineer,Full-Time,Detroit, Bachelor's degree,5,$9500,000
Software Engineer,Full-Time,Phoenix, Bachelor's degree,3,$10000,000
Technical Writer,Part-Time,Washington, Bachelor's degree,2,$35000,000
Human Resources Manager,Full-Time,Nashville, Bachelor's degree,5,$80000,000
Customer Success Manager,Full-Time,Tampa, Bachelor's degree,3,$70000,000
Business Development Manager,Full-Time,Cleveland ,Bachelor's degree,4,$85000,000
Data Scientist,Full-Time,Pittsburgh, Master's degree,2,$11000,000
UX Designer,Full-Time,Orlando, Bachelor's degree,3,$650,000
Account Manager,Full-Time,Raleigh, Bachelor's degree,4,$80000,000
Quality Control Inspector,Full-Time,Memphis, High School Diploma,2,$30000,000
Sales Manager,Full-Time,St. Louis, Bachelor's degree,5,$10000,000
Content Writer,Part-Time,Milwaukee ,Bachelor's degree,1,$20000,000
Supply Chain Analyst,Full-Time,Oklahoma City, Bachelor's degree,3,$65000,000
Customer Support Specialist,Full-Time,Indianapolis ,Associate's degree,1,$30000,000
software developer,part-time,thessaloniki,bachelors degree,3,5600
marketing,part time,thessaloniki,bachelor,3,3000
marketing,part time,thessaloniki,bachelor,4,8000
